season,daynum,wteam,wscore,lteam,lscore,wloc
A,103,754,194,502,173,H
A,103,756,230,699,218,H
A,103,757,156,817,137,H
A,103,758,156,755,98,H
A,103,761,226,667,211,H
A,103,765,187,819,178,H
A,103,769,254,655,163,H
A,103,771,151,772,137,H
A,103,773,230,506,158,A
A,103,775,144,533,132,H
A,103,781,149,753,139,H
A,103,782,211,766,178,H
A,103,783,161,810,158,H
A,103,786,204,603,154,H
A,103,795,161,705,146,A
A,103,796,158,794,151,A
A,103,798,206,639,168,A
A,103,802,180,846,113,A
A,103,807,204,564,180,H
A,103,811,228,835,204,H
A,103,815,180,553,149,A
A,103,821,187,557,175,A
A,103,825,192,583,170,H
A,103,826,245,800,221,H
A,103,828,180,528,173,H
A,103,829,182,746,154,A
A,103,830,149,551,122,H
A,103,831,187,853,175,A
A,103,832,197,586,190,H
A,103,833,178,550,175,A
A,103,838,194,777,192,H
A,103,840,120,726,96,H
A,103,841,168,725,156,H
A,103,842,226,681,216,H
A,103,844,137,690,122,A
A,103,849,149,720,134,H
A,103,855,209,548,180,A
A,104,511,190,549,182,H
A,104,570,223,700,180,H
A,104,607,194,652,163,N
A,104,628,182,625,120,H
A,104,640,211,515,175,H
A,104,658,151,627,120,A
A,104,660,180,573,156,H
A,104,663,202,789,132,H
A,104,695,214,512,166,A
A,104,749,178,624,170,A
A,104,778,178,717,158,A
A,104,779,166,741,154,H
A,104,793,245,788,194,A
A,104,799,156,657,134,H
A,104,801,228,546,185,H
A,104,839,190,577,156,H
A,104,843,185,764,142,A
A,105,506,192,508,185,H
A,105,519,223,792,178,A
A,105,523,187,683,168,A
A,105,534,187,548,163,A
A,105,545,178,553,154,H
A,105,550,161,600,151,H
A,105,560,187,593,163,H
A,105,571,156,619,151,A
A,105,576,223,644,175,N
A,105,608,230,734,221,H
A,105,632,204,773,202,H
A,105,661,266,634,216,H
A,105,664,216,705,170,A
A,105,672,187,762,180,A
A,105,685,190,804,142,H
A,105,687,204,580,149,A
A,105,696,182,855,149,H
A,105,768,144,643,139,H
A,105,772,161,805,154,A
A,105,780,156,590,132,H
A,105,786,151,746,130,A
A,105,797,185,682,161,A
A,105,800,228,579,202,A
A,105,802,178,587,127,H
A,105,807,202,647,194,A
A,105,814,156,815,134,A
A,105,820,211,751,185,H
A,105,826,233,544,197,H
A,105,829,216,641,120,N
A,105,832,199,598,137,H
A,105,833,194,547,182,H
A,105,834,173,677,161,H
A,105,844,110,574,106,A
A,105,848,175,813,151,H
A,105,851,161,535,146,A
A,105,852,192,821,182,H
A,106,568,230,586,158,A
A,106,582,175,566,156,A
A,106,589,170,653,163,H
A,106,599,185,596,149,A
A,106,603,158,527,151,A
A,106,610,161,657,158,A
A,106,616,194,517,166,A
A,106,628,149,670,132,A
A,106,650,146,811,130,A
A,106,676,151,722,142,A
A,106,678,161,714,154,A
A,106,704,139,541,134,A
A,106,717,185,731,166,H
A,106,741,161,789,151,A
A,106,775,178,578,173,H
A,106,782,206,627,137,H
A,106,825,156,509,137,A
A,106,827,168,592,134,H
A,106,831,134,645,127,H
A,106,841,163,620,142,A
A,107,504,180,518,173,A
A,107,515,190,674,175,H
A,107,520,197,537,180,A
A,107,529,173,581,168,H
A,107,533,199,644,151,A
A,107,559,209,843,166,H
A,107,565,230,774,180,H
A,107,577,190,830,166,H
A,107,583,211,847,187,H
A,107,587,175,626,125,H
A,107,595,190,695,158,H
A,107,617,206,788,197,A
A,107,621,185,842,168,H
A,107,623,223,715,149,H
A,107,624,178,575,125,A
A,107,625,173,729,130,H
A,107,629,168,721,139,A
A,107,635,142,816,139,H
A,107,636,204,556,168,H
A,107,639,206,503,151,A
A,107,640,206,604,175,H
A,107,642,161,854,139,H
A,107,652,178,730,154,A
A,107,659,190,588,166,H
A,107,660,151,562,137,A
A,107,661,228,510,154,N
A,107,673,154,671,151,A
A,107,683,185,693,178,N
A,107,686,175,679,151,H
A,107,692,144,555,137,A
A,107,708,127,551,115,A
A,107,719,173,798,144,A
A,107,723,223,602,221,A
A,107,724,168,677,142,H
A,107,737,185,668,130,H
A,107,742,170,767,168,A
A,107,744,134,776,120,H
A,107,758,190,781,156,A
A,107,769,137,600,108,H
A,107,777,163,745,127,H
A,107,790,175,655,156,A
A,107,793,166,794,120,H
A,107,796,187,521,173,H
A,107,801,185,780,122,A
A,107,802,202,749,180,A
A,107,814,182,850,161,A
A,107,829,190,764,161,H
A,107,832,216,833,175,H
A,107,836,182,669,156,H
A,107,838,238,648,226,A
A,107,844,134,654,94,H
A,107,851,156,552,130,H
A,108,512,166,818,158,A
A,108,516,149,768,130,H
A,108,519,245,791,180,H
A,108,526,163,713,108,H
A,108,535,204,622,197,A
A,108,536,194,754,163,H
A,108,540,163,590,158,H
A,108,554,192,594,134,H
A,108,560,216,571,185,H
A,108,564,163,702,151,A
A,108,578,221,805,173,H
A,108,598,214,586,211,H
A,108,607,175,755,142,A
A,108,627,199,509,175,A
A,108,634,221,761,202,H
A,108,643,161,650,132,H
A,108,645,161,815,113,N
A,108,651,161,546,154,A
A,108,658,158,766,154,A
A,108,663,168,641,127,H
A,108,690,240,845,216,A
A,108,699,182,647,175,H
A,108,703,233,633,211,A
A,108,711,161,664,156,H
A,108,716,137,795,98,A
A,108,725,144,539,139,H
A,108,727,192,817,132,H
A,108,738,151,720,132,A
A,108,746,197,778,168,H
A,108,747,221,683,187,H
A,108,752,178,543,151,H
A,108,753,182,732,163,H
A,108,765,178,751,156,H
A,108,771,192,523,149,H
A,108,783,156,726,120,A
A,108,792,185,672,170,A
A,108,810,182,511,180,H
A,108,811,190,513,187,H
A,108,819,199,705,197,H
A,108,820,175,812,170,H
A,108,821,166,613,142,H
A,108,822,187,757,151,H
A,108,824,185,852,170,H
A,108,835,151,803,122,H
A,108,839,204,662,187,A
A,108,846,182,530,144,H
A,109,561,146,567,137,H
A,109,570,161,615,137,A
A,109,576,180,799,134,A
A,109,589,178,782,156,H
A,109,612,170,558,106,A
A,109,657,221,611,161,A
A,109,736,139,531,134,A
A,109,740,209,553,163,H
A,109,828,211,700,190,A
A,109,838,194,588,137,A
A,109,854,149,728,144,H
A,110,504,182,655,175,H
A,110,508,202,734,199,A
A,110,510,228,586,190,H
A,110,511,206,818,173,A
A,110,513,132,803,125,A
A,110,515,209,518,185,H
A,110,519,214,682,187,H
A,110,521,173,788,168,H
A,110,527,168,737,163,A
A,110,528,185,712,134,A
A,110,529,156,798,127,A
A,110,530,178,802,175,A
A,110,535,175,690,139,H
A,110,538,233,565,202,A
A,110,539,137,726,122,A
A,110,540,154,594,137,H
A,110,541,158,766,118,H
A,110,543,228,634,190,A
A,110,544,286,800,283,A
A,110,547,170,600,120,A
A,110,549,209,573,144,A
A,110,551,161,595,142,H
A,110,554,173,590,120,H
A,110,555,175,533,163,A
A,110,557,185,824,182,A
A,110,559,204,717,156,H
A,110,560,187,693,144,A
A,110,567,170,558,130,A
A,110,568,197,550,130,H
A,110,569,158,775,139,H
A,110,571,199,523,187,A
A,110,575,170,749,163,A
A,110,577,190,695,182,H
A,110,579,154,534,146,A
A,110,581,218,520,180,A
A,110,593,149,665,110,H
A,110,597,197,502,120,H
A,110,602,240,509,211,A
A,110,603,194,666,144,H
A,110,605,178,667,158,A
A,110,606,154,839,151,H
A,110,607,166,753,142,A
A,110,608,187,506,163,A
A,110,612,156,561,144,A
A,110,613,226,536,214,A
A,110,620,182,582,151,H
A,110,621,204,713,180,H
A,110,623,182,720,161,A
A,110,632,194,685,190,A
A,110,633,185,516,180,A
A,110,635,182,825,180,H
A,110,636,146,629,120,A
A,110,640,216,790,120,A
A,110,644,168,642,161,H
A,110,645,185,545,146,H
A,110,647,170,822,120,A
A,110,652,180,730,149,H
A,110,653,192,704,163,A
A,110,654,240,552,139,H
A,110,659,125,776,103,A
A,110,663,178,831,139,A
A,110,664,206,819,175,A
A,110,669,187,537,130,H
A,110,671,180,715,137,A
A,110,672,178,580,168,H
A,110,673,168,849,158,H
A,110,674,170,675,154,H
A,110,677,137,696,132,H
A,110,678,226,626,149,H
A,110,679,204,648,163,H
A,110,680,175,681,154,H
A,110,686,192,745,166,A
A,110,687,209,797,194,H
A,110,692,130,517,122,A
A,110,699,156,757,146,H
A,110,701,168,852,166,H
A,110,702,199,807,185,H
A,110,703,173,768,120,H
A,110,708,170,830,158,H
A,110,711,194,705,161,H
A,110,714,139,562,137,A
A,110,719,175,503,142,H
A,110,721,286,556,211,A
A,110,722,173,698,137,A
A,110,723,168,743,151,H
A,110,724,173,610,163,A
A,110,725,154,783,149,H
A,110,728,199,531,127,A
A,110,736,154,854,101,A
A,110,738,158,729,118,H
A,110,741,209,853,168,H
A,110,742,144,794,132,H
A,110,744,194,777,118,A
A,110,747,185,619,151,H
A,110,752,218,761,192,H
A,110,755,158,732,103,H
A,110,756,190,727,175,H
A,110,774,209,566,142,H
A,110,778,187,764,175,H
A,110,779,182,578,168,A
A,110,789,185,596,134,H
A,110,792,245,762,166,H
A,110,793,242,767,158,A
A,110,796,223,617,202,A
A,110,804,206,773,194,H
A,110,809,175,784,149,H
A,110,810,209,512,168,H
A,110,812,180,795,144,A
A,110,813,149,814,146,H
A,110,815,214,848,144,H
A,110,817,163,564,142,H
A,110,820,228,716,202,H
A,110,821,211,754,178,H
A,110,827,257,769,233,H
A,110,829,161,731,154,A
A,110,832,247,661,226,H
A,110,833,233,598,204,A
A,110,834,223,548,175,H
A,110,836,202,639,168,A
A,110,841,182,840,158,H
A,110,842,154,526,149,A
A,110,843,173,668,166,H
A,110,845,190,622,115,H
A,110,847,151,816,110,H
A,110,851,168,574,151,H
A,110,855,180,826,144,H
A,111,576,197,570,187,A
A,111,611,209,700,158,H
A,111,624,168,587,166,H
A,111,641,182,599,168,H
A,111,657,146,828,144,A
A,111,658,163,782,120,A
A,111,660,139,772,132,A
A,111,662,218,676,173,H
A,111,670,192,625,180,H
A,111,758,154,781,146,H
A,111,799,178,615,134,A
A,111,801,168,771,149,A
A,111,835,204,811,187,H
A,112,508,245,804,235,A
A,112,519,216,580,180,H
A,112,523,151,665,132,H
A,112,538,202,552,161,A
A,112,545,209,740,204,A
A,112,546,149,815,139,H
A,112,547,192,510,158,A
A,112,549,166,780,154,A
A,112,568,228,832,182,H
A,112,583,190,850,144,H
A,112,593,206,571,192,H
A,112,598,163,550,161,H
A,112,603,185,559,156,H
A,112,605,178,543,139,H
A,112,627,161,589,146,H
A,112,632,168,608,163,H
A,112,633,194,803,175,H
A,112,636,194,698,170,H
A,112,645,170,553,137,H
A,112,648,252,776,185,H
A,112,653,154,541,151,A
A,112,654,214,622,204,H
A,112,659,180,838,168,A
A,112,661,266,586,202,H
A,112,672,175,682,170,H
A,112,677,238,548,175,H
A,112,678,202,575,194,A
A,112,679,206,588,180,H
A,112,685,199,506,166,H
A,112,686,173,777,134,A
A,112,693,168,619,163,H
A,112,701,187,557,158,H
A,112,703,168,650,146,A
A,112,704,190,766,185,H
A,112,711,161,795,132,A
A,112,744,226,745,161,A
A,112,747,194,560,166,H
A,112,751,168,716,166,A
A,112,773,300,734,247,A
A,112,779,154,775,134,A
A,112,791,182,762,175,H
A,112,792,185,687,182,A
A,112,802,266,626,180,H
A,112,812,233,765,216,H
A,112,817,151,807,144,H
A,112,819,226,820,175,A
A,112,826,175,534,154,A
A,112,833,199,600,154,H
A,112,834,252,696,206,H
A,112,844,194,845,158,H
A,112,846,192,714,163,A
A,112,855,178,579,156,H
A,113,513,209,811,161,H
A,113,576,209,813,132,A
A,113,615,166,596,137,H
A,113,640,202,504,156,H
A,113,663,178,741,166,A
A,113,666,218,772,158,H
A,113,668,230,778,218,H
A,113,738,178,623,170,A
A,113,746,170,731,168,A
A,113,764,192,786,190,H
A,113,789,127,728,101,A
A,113,793,192,521,173,A
A,113,796,180,767,130,H
A,113,801,190,590,154,A
A,113,835,216,643,166,H
A,113,853,245,569,228,H
A,114,509,182,743,163,A
A,114,518,166,674,149,H
A,114,520,175,529,144,A
A,114,530,175,587,139,H
A,114,555,211,517,175,H
A,114,570,194,799,175,H
A,114,573,190,654,156,H
A,114,599,202,578,173,H
A,114,604,185,827,163,H
A,114,606,202,830,180,A
A,114,610,228,553,158,H
A,114,616,202,644,185,H
A,114,617,190,794,180,A
A,114,624,166,802,154,H
A,114,626,226,749,192,H
A,114,628,199,671,113,H
A,114,635,173,583,168,A
A,114,637,166,676,154,H
A,114,639,180,537,127,A
A,114,642,175,533,125,H
A,114,669,180,581,163,A
A,114,673,144,720,137,H
A,114,675,211,655,185,H
A,114,683,187,693,178,H
A,114,714,209,562,175,H
A,114,715,197,849,170,A
A,114,721,194,556,142,H
A,114,722,139,629,110,H
A,114,723,218,847,206,H
A,114,737,175,717,173,A
A,114,769,192,592,180,H
A,114,780,218,797,156,H
A,114,788,168,742,161,A
A,114,790,158,515,142,H
A,114,791,178,792,156,H
A,114,798,178,503,149,A
A,114,814,214,848,173,H
A,114,825,151,816,106,H
A,114,836,130,719,122,H
A,114,839,163,551,115,H
A,114,843,259,527,214,A
A,114,850,194,586,182,A
A,115,511,194,725,151,H
A,115,512,151,726,139,H
A,115,513,146,768,118,A
A,115,528,190,657,149,H
A,115,535,166,574,146,A
A,115,536,192,502,158,A
A,115,539,161,840,134,H
A,115,540,182,543,139,A
A,115,544,158,855,137,H
A,115,560,175,747,168,H
A,115,566,197,774,168,H
A,115,577,223,595,209,A
A,115,589,168,653,142,A
A,115,590,199,784,173,H
A,115,594,223,809,206,H
A,115,597,170,821,163,H
A,115,605,197,634,182,H
A,115,607,199,781,197,H
A,115,613,199,824,180,H
A,115,619,209,693,182,H
A,115,627,158,766,149,A
A,115,650,173,835,158,H
A,115,651,173,549,158,A
A,115,660,187,546,163,H
A,115,662,206,695,202,A
A,115,666,151,547,132,A
A,115,677,197,579,175,A
A,115,678,187,846,170,A
A,115,687,190,762,146,A
A,115,690,146,552,127,A
A,115,699,170,564,158,A
A,115,700,187,712,173,A
A,115,701,199,754,187,A
A,115,703,202,643,115,H
A,115,708,238,832,182,H
A,115,713,190,620,166,H
A,115,727,170,647,146,A
A,115,729,161,670,137,H
A,115,732,192,758,170,H
A,115,751,226,705,204,A
A,115,752,187,667,170,A
A,115,756,166,757,158,A
A,115,761,223,554,199,H
A,115,765,166,664,158,A
A,115,775,175,596,113,H
A,115,800,211,534,206,H
A,115,803,178,516,144,H
A,115,805,190,771,151,H
A,115,810,146,818,142,A
A,115,811,206,633,202,H
A,115,812,228,711,161,H
A,115,815,163,813,118,A
A,115,819,175,716,154,A
A,115,822,182,702,166,H
A,115,831,146,641,134,A
A,115,834,178,826,173,A
A,115,841,163,783,142,A
A,115,842,254,582,199,H
A,115,844,216,622,134,A
A,115,851,238,845,180,H
A,116,531,190,561,180,H
A,116,558,151,854,149,A
A,116,576,206,828,142,H
A,116,658,175,704,146,H
A,116,680,192,621,166,H
A,116,681,182,526,156,H
A,116,728,158,612,154,H
A,116,736,156,567,94,H
A,116,753,156,652,142,A
A,116,755,151,730,122,A
A,116,782,144,541,137,A
A,116,789,175,741,149,A
A,117,508,233,773,226,A
A,117,509,199,723,178,H
A,117,511,202,726,144,H
A,117,513,247,633,185,H
A,117,523,180,593,149,A
A,117,528,192,700,166,A
A,117,529,163,503,120,A
A,117,530,156,624,154,H
A,117,539,170,841,161,H
A,117,540,166,761,156,A
A,117,544,180,534,149,H
A,117,547,168,550,106,H
A,117,551,163,662,146,H
A,117,554,180,543,130,A
A,117,555,204,642,173,A
A,117,557,192,852,158,H
A,117,558,146,531,132,A
A,117,560,209,619,130,H
A,117,561,170,854,156,A
A,117,566,199,565,158,H
A,117,568,199,661,185,H
A,117,569,161,641,144,A
A,117,570,170,799,168,A
A,117,574,149,654,115,H
A,117,579,185,834,127,H
A,117,580,209,792,199,H
A,117,587,230,749,154,H
A,117,590,211,809,170,H
A,117,595,202,708,192,A
A,117,597,228,536,199,H
A,117,599,206,663,182,A
A,117,603,161,527,154,H
A,117,616,223,533,175,A
A,117,617,190,521,166,H
A,117,622,175,552,166,H
A,117,623,218,628,206,H
A,117,627,146,653,137,H
A,117,629,187,676,178,A
A,117,632,194,506,163,A
A,117,635,194,602,192,A
A,117,636,185,637,158,A
A,117,639,218,581,175,H
A,117,640,226,592,151,A
A,117,643,180,516,151,H
A,117,647,252,756,206,H
A,117,648,209,745,180,H
A,117,652,170,755,122,H
A,117,655,223,518,161,H
A,117,665,221,683,216,H
A,117,667,187,634,166,H
A,117,669,182,520,137,H
A,117,670,156,673,149,H
A,117,674,180,769,156,H
A,117,675,175,504,156,A
A,117,678,161,562,158,H
A,117,679,185,838,163,A
A,117,680,182,526,146,H
A,117,681,187,621,125,H
A,117,685,187,608,173,A
A,117,686,178,659,154,H
A,117,687,192,672,161,H
A,117,690,194,851,170,H
A,117,692,175,644,142,H
A,117,696,233,548,166,H
A,117,701,211,613,190,A
A,117,702,194,817,173,A
A,117,703,158,811,149,H
A,117,711,187,716,127,A
A,117,712,180,657,142,A
A,117,713,170,582,137,H
A,117,714,199,575,158,A
A,117,717,173,764,144,H
A,117,719,182,537,175,H
A,117,720,197,715,166,A
A,117,722,158,556,154,A
A,117,724,204,762,166,H
A,117,725,194,512,168,A
A,117,727,190,757,173,A
A,117,728,192,567,122,H
A,117,736,156,612,139,H
A,117,740,185,814,178,A
A,117,744,211,588,173,H
A,117,747,211,693,142,A
A,117,751,168,664,158,A
A,117,752,223,605,173,A
A,117,753,192,730,146,A
A,117,754,173,824,166,H
A,117,758,185,607,170,A
A,117,765,182,705,139,A
A,117,768,221,835,187,H
A,117,772,142,771,122,H
A,117,774,204,538,202,A
A,117,777,149,776,144,A
A,117,781,218,732,199,A
A,117,783,170,840,134,H
A,117,784,197,594,175,A
A,117,786,185,731,144,H
A,117,788,209,767,190,H
A,117,790,226,827,190,H
A,117,791,156,682,144,A
A,117,796,180,793,139,A
A,117,797,161,519,154,H
A,117,802,173,846,158,H
A,117,803,113,650,108,H
A,117,804,218,734,190,H
A,117,807,178,699,163,H
A,117,812,209,819,161,H
A,117,813,192,553,180,A
A,117,815,168,545,142,A
A,117,816,161,583,108,H
A,117,820,180,795,142,A
A,117,821,178,502,120,A
A,117,822,158,564,127,A
A,117,825,166,743,161,A
A,117,826,166,677,137,H
A,117,830,161,839,118,H
A,117,832,204,510,180,A
A,117,833,223,586,218,A
A,117,836,163,798,144,A
A,117,842,206,620,180,H
A,117,843,221,778,185,H
A,117,844,175,535,158,H
A,117,848,187,645,185,H
A,117,849,175,671,125,A
A,117,853,278,578,252,H
A,118,549,156,801,151,A
A,118,559,168,829,142,A
A,118,576,178,611,134,H
A,118,577,204,810,158,H
A,118,589,158,766,137,H
A,118,604,170,515,142,H
A,118,606,221,695,199,H
A,118,658,187,541,146,H
A,118,666,137,651,130,H
A,118,704,139,782,132,H
A,118,721,192,698,182,A
A,118,738,178,625,173,A
A,118,746,170,668,132,H
A,118,779,166,596,139,H
A,118,780,166,660,139,H
A,118,789,137,831,98,H
A,118,800,223,855,211,H
A,118,805,151,546,134,H
A,118,828,230,615,199,A
A,119,519,192,687,156,A
A,119,530,190,749,182,A
A,119,547,223,586,144,H
A,119,562,182,575,149,H
A,119,568,211,598,190,A
A,119,569,173,578,166,H
A,119,573,156,771,146,A
A,119,574,185,690,180,H
A,119,579,216,548,175,A
A,119,587,173,678,151,H
A,119,589,197,627,161,H
A,119,599,194,853,185,A
A,119,615,199,611,185,H
A,119,626,154,624,144,H
A,119,634,252,506,132,N
A,119,635,180,509,173,H
A,119,636,209,676,156,H
A,119,659,134,679,118,H
A,119,661,230,600,120,H
A,119,686,204,588,158,H
A,119,692,175,850,132,H
A,119,696,240,826,230,H
A,119,723,194,583,137,H
A,119,744,199,838,161,H
A,119,776,151,745,113,H
A,119,777,226,648,192,A
A,119,786,221,778,190,A
A,119,788,218,794,214,A
A,119,791,197,580,161,A
A,119,792,211,682,187,A
A,119,793,194,741,185,A
A,119,797,218,672,199,H
A,119,802,228,714,211,H
A,119,807,194,822,182,H
A,119,816,151,743,142,H
A,119,817,154,699,146,A
A,119,832,204,550,199,A
A,119,833,218,510,173,H
A,119,845,146,654,139,H
A,119,847,230,602,221,H
A,120,561,149,534,144,N
A,120,565,194,652,180,H
A,120,566,170,713,158,H
A,120,640,211,518,175,A
A,120,653,161,766,127,H
A,120,670,180,671,110,H
A,120,677,288,800,228,H
A,120,724,146,846,144,A
A,120,737,202,603,185,H
A,120,753,185,538,175,H
A,120,765,182,716,168,H
A,120,773,226,664,197,H
A,120,829,182,527,170,A
A,120,834,197,544,151,H
A,120,839,202,708,144,H
A,121,504,235,515,214,A
A,121,520,158,639,125,H
A,121,521,242,742,211,H
A,121,551,192,695,182,A
A,121,554,199,850,113,H
A,121,556,187,698,154,H
A,121,559,187,746,158,H
A,121,569,158,641,154,H
A,121,577,185,662,180,A
A,121,581,194,719,185,H
A,121,604,206,592,168,A
A,121,606,199,595,163,A
A,121,617,149,767,142,A
A,121,625,182,623,154,H
A,121,628,166,849,130,H
A,121,637,221,629,209,A
A,121,648,197,776,151,H
A,121,660,192,651,190,A
A,121,663,163,779,158,H
A,121,668,170,717,142,A
A,121,669,139,529,134,A
A,121,674,180,655,115,H
A,121,696,199,579,173,H
A,121,722,214,721,161,H
A,121,729,187,715,149,H
A,121,745,163,588,158,A
A,121,769,158,790,125,H
A,121,772,149,780,110,H
A,121,798,247,537,245,A
A,121,801,144,805,139,H
A,121,826,209,548,175,A
A,121,827,166,675,154,H
A,121,836,214,503,118,H
A,122,510,180,550,175,N
A,122,511,173,841,149,A
A,122,519,214,580,161,N
A,122,540,161,784,142,N
A,122,545,132,740,125,N
A,122,546,194,573,166,H
A,122,549,170,666,158,H
A,122,557,209,754,178,H
A,122,560,199,619,151,N
A,122,571,142,665,134,N
A,122,594,139,752,132,N
A,122,597,211,824,209,A
A,122,599,182,741,173,H
A,122,645,178,813,125,N
A,122,664,221,705,192,H
A,122,667,173,543,146,N
A,122,677,182,544,166,H
A,122,680,182,582,166,A
A,122,681,194,620,187,A
A,122,693,180,523,178,N
A,122,701,161,502,132,H
A,122,711,161,795,144,H
A,122,725,192,818,144,H
A,122,727,209,564,151,H
A,122,731,199,843,151,H
A,122,738,161,673,146,H
A,122,747,190,593,139,N
