season,daynum,wteam,wscore,lteam,lscore
B,137,701,142,723,132
B,137,737,194,660,142
B,137,783,192,721,161
B,137,789,149,674,96
B,137,793,170,849,139
B,137,802,194,528,125
B,137,821,180,692,146
B,137,839,163,781,110
B,138,511,175,554,166
B,138,539,180,829,163
B,138,629,161,549,158
B,138,636,180,738,146
B,138,640,180,628,166
B,138,708,175,556,134
B,138,779,194,527,185
B,138,810,230,853,199
B,139,547,180,623,151
B,139,551,156,802,142
B,139,651,154,701,151
B,139,673,182,789,137
B,139,737,235,577,209
B,139,783,173,839,158
B,139,793,197,560,194
B,139,821,185,546,139
B,143,640,199,779,163
B,143,673,216,551,202
B,143,810,178,629,175
B,143,821,197,783,185
B,144,511,204,636,197
B,144,651,187,793,151
B,144,708,151,539,137
B,144,737,170,547,156
B,145,640,173,821,142
B,145,673,192,810,173
B,146,511,230,737,221
B,146,708,233,651,178
B,152,511,158,708,139
B,152,640,187,673,166
B,154,511,202,640,190
C,136,511,238,705,144
C,136,515,178,698,156
C,136,546,185,622,149
C,136,549,156,713,149
C,136,559,223,588,204
C,136,623,154,768,122
C,136,624,197,790,194
C,136,625,226,721,209
C,136,662,197,822,163
C,136,671,199,581,170
C,136,708,211,692,125
C,136,736,166,817,137
C,136,743,149,769,146
C,136,821,204,755,163
C,136,840,166,853,163
C,136,843,197,789,125
C,137,574,158,778,154
C,137,577,238,740,151
C,137,595,230,788,209
C,137,636,264,734,125
C,137,640,197,747,161
C,137,670,192,568,146
C,137,701,190,535,149
C,137,722,178,599,142
C,137,738,228,570,134
C,137,741,233,687,178
C,137,780,122,663,110
C,137,783,161,554,137
C,137,786,151,627,146
C,137,810,156,668,149
C,137,826,168,674,166
C,137,836,180,551,173
C,138,511,197,624,118
C,138,559,187,625,163
C,138,662,161,623,146
C,138,671,151,736,134
C,138,708,223,546,199
C,138,821,180,515,166
C,138,840,194,743,158
C,138,843,180,549,178
C,139,577,190,722,175
C,139,640,211,780,146
C,139,738,192,574,156
C,139,741,192,636,180
C,139,783,199,836,156
C,139,786,134,701,110
C,139,810,204,670,197
C,139,826,199,595,185
C,143,511,209,662,190
C,143,559,180,840,178
C,143,708,175,671,139
C,143,821,156,843,149
C,144,577,192,786,161
C,144,640,226,810,163
C,144,741,178,826,163
C,144,783,161,738,142
C,145,708,180,559,154
C,145,821,182,511,122
C,146,640,206,577,202
C,146,783,190,741,185
C,152,640,206,783,204
C,152,821,156,708,142
C,154,640,187,821,166
D,136,515,226,766,192
D,136,518,192,848,98
D,136,559,218,820,158
D,136,562,149,651,139
D,136,574,134,810,127
D,136,592,180,728,146
D,136,607,180,673,151
D,136,625,259,599,211
D,136,628,185,805,154
D,136,662,197,826,144
D,136,701,146,676,142
D,136,720,173,687,139
D,136,722,166,786,146
D,136,778,166,752,103
D,136,783,166,508,137
D,136,842,182,708,178
D,137,546,194,741,168
D,137,549,173,602,115
D,137,577,238,593,139
D,137,636,228,587,178
D,137,640,197,702,144
D,137,668,180,642,130
D,137,669,142,840,139
D,137,671,182,686,127
D,137,674,173,829,168
D,137,678,103,849,77
D,137,721,146,511,144
D,137,738,139,793,130
D,137,789,146,639,130
D,137,790,149,570,125
D,137,802,149,554,127
D,137,821,192,516,139
D,138,518,194,722,178
D,138,559,187,701,134
D,138,592,197,842,178
D,138,607,197,783,178
D,138,628,197,515,173
D,138,662,180,562,151
D,138,720,180,574,106
D,138,778,206,625,146
D,139,577,233,802,134
D,139,640,221,636,211
D,139,669,158,821,139
D,139,671,178,674,158
D,139,678,194,790,122
D,139,721,204,546,173
D,139,738,175,668,151
D,139,789,154,549,130
D,143,559,187,628,163
D,143,607,175,592,173
D,143,720,173,518,154
D,143,778,182,662,149
D,144,577,187,678,146
D,144,640,139,669,103
D,144,671,130,721,110
D,144,789,185,738,132
D,145,559,161,607,149
D,145,720,185,778,178
D,146,577,204,789,154
D,146,671,175,640,158
D,152,559,154,720,139
D,152,577,163,671,149
D,154,559,185,577,178
E,136,511,170,632,113
E,136,518,173,562,166
E,136,607,185,651,158
E,136,629,211,544,187
E,136,640,204,775,192
E,136,655,154,762,146
E,136,662,178,627,142
E,136,671,156,826,91
E,136,721,178,848,120
E,136,738,149,569,146
E,136,778,146,713,134
E,136,786,190,752,156
E,136,793,185,626,146
E,136,810,156,520,137
E,136,821,115,780,108
E,136,849,158,597,134
E,137,549,154,816,113
E,137,559,180,822,161
E,137,577,197,643,132
E,137,592,166,535,163
E,137,623,163,728,139
E,137,636,194,573,185
E,137,668,180,515,170
E,137,708,202,676,168
E,137,720,209,510,146
E,137,722,206,615,158
E,137,730,185,625,137
E,137,764,173,725,170
E,137,783,202,747,156
E,137,789,175,642,113
E,137,790,151,811,139
E,137,802,214,817,149
E,138,607,197,778,182
E,138,629,190,518,144
E,138,655,173,793,161
E,138,671,175,821,146
E,138,738,158,721,149
E,138,786,125,640,120
E,138,810,252,662,168
E,138,849,158,511,142
E,139,577,166,636,154
E,139,592,223,623,182
E,139,668,180,720,149
E,139,708,144,783,127
E,139,722,180,730,161
E,139,764,161,789,156
E,139,790,156,559,122
E,139,802,166,549,146
E,143,629,192,810,134
E,143,671,180,786,139
E,143,738,180,607,158
E,143,849,146,655,115
E,144,592,209,577,187
E,144,708,178,790,166
E,144,722,163,764,158
E,144,802,192,668,170
E,145,671,180,629,154
E,145,849,154,738,144
E,146,592,185,722,156
E,146,708,142,802,132
E,152,592,170,708,142
E,152,671,127,849,98
E,154,671,214,592,182
F,136,527,163,774,156
F,136,549,202,536,142
F,136,577,228,679,125
F,136,603,151,515,146
F,136,605,120,849,118
F,136,610,139,629,137
F,136,628,166,562,134
F,136,639,185,625,175
F,136,640,173,616,163
F,136,662,199,602,192
F,136,676,168,604,163
F,136,779,158,606,149
F,136,783,214,815,144
F,136,810,146,615,115
F,136,818,166,722,130
F,136,822,185,720,163
F,137,511,242,579,182
F,137,535,190,839,151
F,137,546,168,790,151
F,137,592,166,835,134
F,137,597,197,539,168
F,137,607,206,830,204
F,137,623,230,716,130
F,137,626,168,721,163
F,137,636,238,565,180
F,137,671,166,506,84
F,137,674,173,627,168
F,137,708,168,736,115
F,137,717,199,853,170
F,137,729,166,737,142
F,137,786,190,613,166
F,137,789,190,793,156
F,138,549,158,639,103
F,138,577,226,676,194
F,138,603,182,610,137
F,138,640,221,628,190
F,138,662,190,605,144
F,138,783,216,779,199
F,138,810,180,822,120
F,138,818,178,527,170
F,139,511,175,535,125
F,139,607,204,626,163
F,139,623,190,546,146
F,139,636,209,786,139
F,139,671,194,597,156
F,139,674,142,717,134
F,139,729,197,708,178
F,139,789,180,592,130
F,143,577,182,810,151
F,143,662,182,603,158
F,143,783,187,549,156
F,143,818,192,640,182
F,144,511,158,674,134
F,144,623,192,636,154
F,144,671,185,607,149
F,144,789,202,729,173
F,145,577,190,818,166
F,145,662,209,783,175
F,146,511,209,623,194
F,146,671,166,789,149
F,152,511,192,671,146
F,152,577,228,662,202
F,154,577,197,511,173
G,136,504,206,590,187
G,136,511,206,757,194
G,136,577,202,848,89
G,136,625,180,821,134
G,136,636,168,616,142
G,136,639,166,722,146
G,136,640,199,826,163
G,136,676,223,668,192
G,136,717,197,546,151
G,136,720,166,568,154
G,136,725,194,680,149
G,136,783,202,835,163
G,136,802,170,660,166
G,136,816,223,818,214
G,136,839,199,730,178
G,136,852,175,607,158
G,137,539,197,728,180
G,137,549,216,528,125
G,137,559,187,610,161
G,137,562,199,592,197
G,137,604,204,687,163
G,137,623,223,754,154
G,137,662,204,766,168
G,137,675,168,664,139
G,137,695,166,671,139
G,137,721,170,622,151
G,137,731,170,544,130
G,137,749,182,796,163
G,137,793,168,527,137
G,137,810,192,674,139
G,137,849,192,778,168
G,137,853,168,613,139
G,138,511,163,852,144
G,138,577,202,717,185
G,138,625,182,816,161
G,138,636,206,783,151
G,138,639,170,504,139
G,138,640,209,802,197
G,138,676,199,720,161
G,138,725,221,839,209
G,139,559,185,695,178
G,139,623,173,562,144
G,139,662,209,849,137
G,139,721,187,853,156
G,139,731,151,539,120
G,139,749,185,604,180
G,139,793,163,675,154
G,139,810,252,549,242
G,143,625,178,577,175
G,143,639,187,731,175
G,143,676,197,810,175
G,143,721,211,511,161
G,144,559,170,749,142
G,144,636,175,623,166
G,144,662,187,640,163
G,144,725,173,793,168
G,145,625,194,639,166
G,145,721,194,676,180
G,146,636,250,725,206
G,146,662,216,559,197
G,152,625,175,721,154
G,152,662,233,636,211
G,154,662,154,625,125
H,136,511,192,828,122
H,136,512,202,666,170
H,136,537,190,562,175
H,136,539,182,695,178
H,136,559,139,536,127
H,136,577,161,557,137
H,136,607,178,549,166
H,136,623,156,835,144
H,136,636,154,822,146
H,136,660,173,616,163
H,136,676,173,749,170
H,136,717,168,845,166
H,136,721,170,747,130
H,136,783,185,753,166
H,136,802,202,569,170
H,136,849,194,842,178
H,137,518,156,779,151
H,137,535,113,675,110
H,137,592,204,751,132
H,137,625,161,504,149
H,137,640,228,631,154
H,137,651,206,519,154
H,137,662,180,816,175
H,137,671,190,556,154
H,137,722,185,728,151
H,137,731,209,838,146
H,137,738,192,655,134
H,137,786,182,658,156
H,137,793,197,814,146
H,137,821,144,725,139
H,137,839,182,586,175
H,137,853,170,800,142
H,138,511,230,607,228
H,138,559,204,783,178
H,138,577,206,537,144
H,138,636,259,512,182
H,138,660,242,676,221
H,138,717,163,623,144
H,138,721,178,539,156
H,138,849,146,802,144
H,139,518,163,839,149
H,139,535,190,651,170
H,139,640,178,821,130
H,139,662,185,853,154
H,139,671,163,592,110
H,139,731,178,625,125
H,139,786,163,722,134
H,139,793,185,738,161
H,143,511,211,717,170
H,143,636,166,577,156
H,143,640,151,849,137
H,143,660,185,731,178
H,144,671,144,662,139
H,144,721,156,535,130
H,144,786,190,518,187
H,144,793,197,559,187
H,145,636,187,511,180
H,145,660,199,640,166
H,146,786,151,721,113
H,146,793,204,671,182
H,152,636,226,660,146
H,152,786,228,793,202
H,154,786,194,636,187
I,136,504,156,749,154
I,136,559,168,828,127
I,136,573,182,569,166
I,136,577,230,506,146
I,136,607,182,826,118
I,136,658,180,592,144
I,136,662,206,824,199
I,136,699,173,671,158
I,136,708,151,502,125
I,136,764,192,511,182
I,136,779,197,645,151
I,136,783,170,820,108
I,136,786,192,536,180
I,136,793,158,736,118
I,136,796,182,546,175
I,136,839,190,825,187
I,137,527,139,821,122
I,137,549,192,586,185
I,137,606,156,714,144
I,137,623,173,687,127
I,137,636,187,622,127
I,137,640,230,593,182
I,137,666,142,769,103
I,137,675,204,679,125
I,137,695,146,811,125
I,137,722,180,582,134
I,137,727,158,737,139
I,137,731,127,809,106
I,137,805,245,840,240
I,137,827,170,836,139
I,137,849,182,743,154
I,137,853,192,651,168
I,138,504,168,783,161
I,138,559,173,573,132
I,138,577,216,764,149
I,138,699,218,607,173
I,138,779,168,796,156
I,138,786,173,662,168
I,138,793,187,708,180
I,138,839,202,658,192
I,139,606,137,527,130
I,139,623,221,549,163
I,139,636,187,727,151
I,139,722,168,666,127
I,139,731,142,849,132
I,139,805,182,640,180
I,139,827,180,695,175
I,139,853,214,675,178
I,143,504,192,786,170
I,143,559,175,827,127
I,143,722,151,731,122
I,143,779,202,839,192
I,144,577,173,623,149
I,144,606,173,699,161
I,144,636,240,805,178
I,144,853,190,793,170
I,145,559,209,504,170
I,145,722,154,779,149
I,146,577,158,853,151
I,146,606,190,636,170
I,152,559,190,577,187
I,152,606,161,722,156
I,154,559,197,606,175
J,136,511,158,822,127
J,136,527,204,728,156
J,136,549,182,628,154
J,136,607,178,848,154
J,136,623,161,588,132
J,136,640,173,580,154
J,136,699,146,793,137
J,136,721,202,704,161
J,136,727,190,731,170
J,136,796,187,810,158
J,136,805,197,655,163
J,136,821,144,824,130
J,136,839,168,547,130
J,136,840,211,680,185
J,136,843,151,562,146
J,136,845,199,504,175
J,137,533,154,636,151
J,137,559,185,809,170
J,137,577,137,571,110
J,137,592,161,719,149
J,137,606,192,599,163
J,137,629,154,673,127
J,137,651,163,811,149
J,137,671,214,723,194
J,137,675,223,783,168
J,137,695,180,546,151
J,137,708,230,718,163
J,137,722,151,761,120
J,137,749,156,781,134
J,137,828,144,786,137
J,137,829,132,701,113
J,137,849,137,714,125
J,138,511,204,805,151
J,138,623,170,699,142
J,138,640,166,549,144
J,138,796,170,607,166
J,138,821,161,721,139
J,138,840,233,727,190
J,138,843,266,839,252
J,138,845,199,527,180
J,139,577,151,675,132
J,139,651,182,606,130
J,139,671,173,828,146
J,139,695,156,559,149
J,139,708,221,629,156
J,139,722,204,749,185
J,139,829,182,592,156
J,139,849,170,533,149
J,143,511,190,722,187
J,143,623,185,845,151
J,143,651,223,840,190
J,143,843,156,796,144
J,144,640,149,821,125
J,144,671,187,577,163
J,144,708,161,829,158
J,144,849,156,695,134
J,145,623,216,511,214
J,145,651,223,843,204
J,146,671,226,640,211
J,146,708,211,849,197
J,152,623,173,651,137
J,152,708,209,671,170
J,154,708,180,623,168
K,136,504,216,660,204
K,136,527,211,727,182
K,136,577,168,773,130
K,136,592,182,768,120
K,136,599,211,816,204
K,136,607,190,853,180
K,136,623,187,502,166
K,136,625,209,754,199
K,136,655,192,627,154
K,136,680,209,699,190
K,136,790,151,848,146
K,136,794,158,786,139
K,136,810,187,522,106
K,136,840,180,822,146
K,136,845,197,721,178
K,136,846,206,764,158
K,137,511,226,849,180
K,137,530,185,636,175
K,137,533,142,515,132
K,137,559,173,507,142
K,137,602,180,671,156
K,137,603,130,714,118
K,137,640,166,805,154
K,137,666,226,724,187
K,137,695,139,539,125
K,137,708,166,687,156
K,137,716,154,628,151
K,137,720,168,568,149
K,137,731,190,639,154
K,137,793,144,728,125
K,137,829,139,679,108
K,137,843,154,749,110
K,138,527,166,680,134
K,138,577,178,599,146
K,138,592,197,845,144
K,138,607,216,625,192
K,138,655,139,794,137
K,138,810,149,504,142
K,138,840,161,623,154
K,138,846,192,790,175
K,139,530,173,731,158
K,139,559,209,640,199
K,139,602,156,708,144
K,139,603,168,720,125
K,139,666,173,533,134
K,139,793,180,695,130
K,139,829,197,511,187
K,139,843,161,716,130
K,143,655,149,577,130
K,143,666,192,530,154
K,143,793,178,843,170
K,143,810,175,607,170
K,144,559,235,840,221
K,144,592,137,603,127
K,144,602,151,846,132
K,144,829,144,527,142
K,145,655,168,793,144
K,145,810,120,666,108
K,146,592,180,829,149
K,146,602,206,559,202
K,152,592,175,602,139
K,152,810,142,655,108
K,154,592,175,810,137
L,136,527,202,796,180
L,136,535,137,723,110
L,136,603,192,522,132
L,136,625,168,607,137
L,136,651,187,783,139
L,136,662,197,568,168
L,136,671,146,660,118
L,136,708,206,580,156
L,136,720,187,544,137
L,136,731,190,851,139
L,136,794,163,728,125
L,136,810,168,842,101
L,136,825,190,577,185
L,136,827,185,599,106
L,136,841,168,724,130
L,136,853,190,536,185
L,137,592,269,632,166
L,137,636,257,704,161
L,137,640,161,829,139
L,137,666,175,711,139
L,137,699,185,562,170
L,137,725,139,669,134
L,137,738,173,511,151
L,137,749,146,616,122
L,137,790,290,647,206
L,137,793,190,702,161
L,137,817,161,606,151
L,137,818,185,515,144
L,137,830,202,507,137
L,137,831,130,623,125
L,137,848,178,717,154
L,137,849,182,787,151
L,138,535,149,662,142
L,138,603,149,527,132
L,138,708,194,671,161
L,138,720,187,853,170
L,138,731,202,825,190
L,138,794,173,651,166
L,138,810,130,625,118
L,138,827,187,841,178
L,139,592,178,738,161
L,139,636,211,640,182
L,139,666,187,699,149
L,139,725,180,848,146
L,139,749,151,831,115
L,139,790,185,830,178
L,139,817,178,849,163
L,139,818,209,793,163
L,143,636,146,749,139
L,143,666,156,794,154
L,143,720,204,790,202
L,143,810,154,731,132
L,144,592,156,535,137
L,144,603,158,827,156
L,144,708,178,818,154
L,144,725,182,817,173
L,145,720,221,666,182
L,145,810,163,636,132
L,146,592,204,725,185
L,146,603,230,708,202
L,152,592,182,810,158
L,152,720,161,603,144
L,154,592,202,720,180
M,136,577,170,522,168
M,136,636,204,733,146
M,136,637,192,818,161
M,136,660,178,640,158
M,136,671,173,789,146
M,136,717,163,602,120
M,136,731,197,724,151
M,136,738,216,521,190
M,136,783,185,561,127
M,136,794,161,536,149
M,136,810,168,685,70
M,136,817,170,639,139
M,136,841,170,848,96
M,136,843,180,511,156
M,136,849,170,564,134
M,136,853,175,604,146
M,137,515,206,625,173
M,137,535,194,768,146
M,137,568,197,607,182
M,137,603,158,813,113
M,137,651,190,526,146
M,137,666,209,819,151
M,137,668,187,781,154
M,137,675,182,725,166
M,137,708,271,686,178
M,137,721,173,779,154
M,137,753,168,559,166
M,137,766,199,827,149
M,137,790,173,509,137
M,137,793,178,519,130
M,137,829,180,551,166
M,137,835,242,575,238
M,138,636,180,817,134
M,138,671,156,731,130
M,138,783,197,660,194
M,138,810,122,794,118
M,138,841,146,717,98
M,138,843,175,577,161
M,138,849,173,637,132
M,138,853,204,738,187
M,139,568,178,603,168
M,139,651,187,721,115
M,139,666,185,675,178
M,139,708,259,515,185
M,139,790,182,535,170
M,139,793,180,668,173
M,139,829,202,766,173
M,139,835,173,753,151
M,143,651,190,790,144
M,143,708,163,841,113
M,143,810,211,835,187
M,143,853,190,843,180
M,144,568,175,849,134
M,144,636,173,829,137
M,144,666,221,671,178
M,144,793,197,783,149
M,145,708,199,651,175
M,145,810,182,853,137
M,146,636,142,568,137
M,146,666,204,793,161
M,152,636,202,708,158
M,152,666,187,810,151
M,154,636,180,666,163
N,136,559,247,547,113
N,136,577,206,524,149
N,136,607,185,503,154
N,136,655,180,535,170
N,136,662,202,539,170
N,136,666,194,565,168
N,136,670,149,551,142
N,136,708,242,740,139
N,136,721,197,683,130
N,136,738,146,714,134
N,136,793,182,673,149
N,136,794,190,536,158
N,136,810,156,825,154
N,136,829,192,509,161
N,136,835,182,623,173
N,136,840,170,675,139
N,137,511,202,821,170
N,137,512,158,789,137
N,137,552,202,839,166
N,137,569,163,843,144
N,137,636,202,689,178
N,137,651,178,682,130
N,137,660,139,822,137
N,137,671,185,745,149
N,137,676,187,561,142
N,137,722,185,790,180
N,137,731,173,586,149
N,137,766,178,720,173
N,137,786,142,765,106
N,137,818,173,527,132
N,137,849,146,595,142
N,137,853,185,733,142
N,138,559,221,794,158
N,138,577,178,793,166
N,138,607,199,835,194
N,138,666,214,662,168
N,138,708,202,655,168
N,138,721,175,670,151
N,138,738,182,840,178
N,138,829,214,810,166
N,139,511,170,552,137
N,139,636,144,569,103
N,139,651,190,766,173
N,139,671,178,818,166
N,139,676,199,660,190
N,139,731,202,722,182
N,139,786,187,512,161
N,139,853,144,849,118
N,143,559,173,738,144
N,143,676,245,666,218
N,143,731,144,853,132
N,143,829,185,577,130
N,144,651,247,511,154
N,144,671,161,636,149
N,144,708,235,607,185
N,144,721,202,786,170
N,145,559,197,676,180
N,145,829,187,731,182
N,146,671,154,651,125
N,146,708,173,721,144
N,152,671,197,559,175
N,152,708,199,829,166
N,154,708,214,671,173
O,136,521,163,751,142
O,136,535,185,824,142
O,136,536,238,592,221
O,136,636,216,644,178
O,136,637,197,711,149
O,136,640,240,586,170
O,136,687,158,827,156
O,136,701,149,680,137
O,136,714,166,817,158
O,136,719,233,603,199
O,136,723,122,717,120
O,136,781,192,743,170
O,136,790,149,754,142
O,136,829,175,745,168
O,136,839,194,793,192
O,136,840,192,660,187
O,137,539,185,651,149
O,137,561,187,789,156
O,137,577,175,514,106
O,137,606,154,722,142
O,137,607,161,595,144
O,137,662,214,617,185
O,137,671,168,702,161
O,137,676,206,551,187
O,137,720,163,757,122
O,137,731,214,718,158
O,137,738,173,766,154
O,137,786,190,828,134
O,137,794,166,822,127
O,137,843,185,683,120
O,137,849,127,850,118
O,137,853,156,673,130
O,138,521,182,723,163
O,138,535,130,687,125
O,138,637,202,536,173
O,138,640,216,839,144
O,138,714,166,636,161
O,138,781,180,829,163
O,138,790,199,719,163
O,138,840,197,701,154
O,139,561,209,849,166
O,139,577,163,539,127
O,139,671,204,662,199
O,139,720,180,606,158
O,139,738,151,794,146
O,139,786,209,607,156
O,139,843,163,676,142
O,139,853,170,731,163
O,143,535,151,786,142
O,143,637,242,853,230
O,143,640,149,561,108
O,143,843,166,840,134
O,144,521,173,781,118
O,144,577,168,738,137
O,144,671,142,714,125
O,144,790,182,720,175
O,145,535,151,637,134
O,145,843,175,640,158
O,146,577,187,521,170
O,146,671,168,790,166
O,152,535,125,671,120
O,152,577,187,843,137
O,154,577,146,535,142
P,136,535,144,723,139
P,136,536,178,850,158
P,136,549,187,676,151
P,136,559,194,533,125
P,136,592,190,757,122
P,136,607,206,778,170
P,136,637,175,822,163
P,136,640,142,736,137
P,136,682,149,651,146
P,136,731,178,814,122
P,136,743,166,827,158
P,136,754,163,688,120
P,136,789,158,729,154
P,136,810,187,671,182
P,136,843,202,551,182
P,136,849,173,522,139
P,137,511,185,666,180
P,137,577,209,610,108
P,137,595,137,794,120
P,137,602,146,829,137
P,137,623,175,817,149
P,137,636,173,528,127
P,137,660,158,853,132
P,137,670,180,790,108
P,137,708,245,648,209
P,137,717,166,503,134
P,137,720,180,820,110
P,137,738,156,782,103
P,137,786,185,626,144
P,137,793,204,718,194
P,137,825,178,603,134
P,137,840,163,604,156
P,138,535,170,731,168
P,138,536,214,607,161
P,138,559,166,549,139
P,138,592,175,810,156
P,138,640,170,843,151
P,138,743,156,682,115
P,138,754,170,789,154
P,138,849,168,637,156
P,139,511,168,793,166
P,139,577,175,670,170
P,139,595,170,717,137
P,139,636,175,623,142
P,139,660,158,786,149
P,139,708,206,840,199
P,139,720,235,602,158
P,139,825,226,738,182
P,143,511,223,577,185
P,143,535,146,849,130
P,143,559,178,754,161
P,143,592,199,536,178
P,144,636,185,743,137
P,144,640,149,720,144
P,144,708,194,660,151
P,144,825,173,595,170
P,145,535,178,592,170
P,145,559,156,511,151
P,146,640,182,708,166
P,146,825,170,636,146
P,152,535,168,825,149
P,152,559,134,640,132
P,154,559,127,535,98
Q,136,521,163,748,144
Q,136,556,163,817,154
Q,136,607,185,843,130
Q,136,625,190,702,158
Q,136,629,185,559,154
Q,136,637,168,772,154
Q,136,640,194,835,158
Q,136,651,166,568,149
Q,136,660,211,536,163
Q,136,687,139,557,98
Q,136,701,180,647,163
Q,136,720,187,653,142
Q,136,786,173,814,156
Q,136,825,149,846,142
Q,136,827,190,612,168
Q,136,849,175,680,118
Q,137,549,156,793,142
Q,137,562,139,504,137
Q,137,592,170,830,108
Q,137,595,158,775,151
Q,137,603,178,522,142
Q,137,636,156,574,120
Q,137,644,180,577,168
Q,137,671,214,648,161
Q,137,695,190,754,156
Q,137,707,206,676,202
Q,137,708,185,828,139
Q,137,719,156,670,144
Q,137,738,173,781,166
Q,137,771,139,789,106
Q,137,780,146,666,130
Q,137,853,161,717,151
Q,138,521,192,556,151
Q,138,625,151,825,146
Q,138,640,209,629,170
Q,138,651,142,701,134
Q,138,660,149,687,127
Q,138,720,175,607,158
Q,138,786,180,637,142
Q,138,849,144,827,137
Q,139,549,149,595,134
Q,139,592,202,707,120
Q,139,636,151,738,144
Q,139,671,156,780,146
Q,139,695,158,603,151
Q,139,708,209,562,175
Q,139,719,149,771,134
Q,139,853,168,644,139
Q,143,592,163,660,139
Q,143,651,137,671,106
Q,143,720,194,549,158
Q,143,786,154,849,151
Q,144,521,180,853,168
Q,144,636,144,695,137
Q,144,640,245,625,216
Q,144,708,175,719,156
Q,145,651,173,592,163
Q,145,720,185,786,168
Q,146,636,192,708,161
Q,146,640,197,521,168
Q,152,636,154,720,149
Q,152,640,166,651,146
Q,154,640,161,636,142
R,136,511,194,522,154
R,136,535,163,533,134
R,136,539,154,817,146
R,136,557,202,676,173
R,136,607,154,773,139
R,136,612,163,701,149
R,136,651,190,693,115
R,136,660,142,568,139
R,136,666,130,781,125
R,136,670,170,748,134
R,136,671,156,826,130
R,136,725,163,722,132
R,136,780,154,702,106
R,136,786,194,680,82
R,136,825,211,503,101
R,136,846,175,731,132
R,137,562,161,549,151
R,137,577,175,507,146
R,137,591,187,603,163
R,137,592,190,716,113
R,137,623,137,556,118
R,137,625,199,635,149
R,137,629,182,717,139
R,137,636,154,835,137
R,137,641,151,637,146
R,137,668,187,727,118
R,137,673,199,810,151
R,137,674,137,849,110
R,137,708,187,829,170
R,137,720,228,627,168
R,137,754,168,721,132
R,137,789,182,695,173
R,138,511,178,612,122
R,138,651,197,557,134
R,138,660,178,535,173
R,138,670,187,825,127
R,138,671,168,666,115
R,138,725,178,780,137
R,138,786,158,539,144
R,138,846,182,607,168
R,139,577,158,562,120
R,139,591,194,754,170
R,139,592,187,673,154
R,139,625,139,789,125
R,139,636,168,708,139
R,139,641,182,674,178
R,139,668,151,623,142
R,139,720,187,629,180
R,143,660,170,668,146
R,143,720,175,511,168
R,143,786,146,625,120
R,143,846,173,641,139
R,144,577,170,671,146
R,144,592,149,591,120
R,144,651,185,725,166
R,144,670,209,636,204
R,145,786,132,660,94
R,145,846,168,720,158
R,146,651,204,577,151
R,146,670,190,592,142
R,152,651,173,846,163
R,152,670,146,786,134
R,154,651,197,670,182
